124,42,12,12,12,12,12,12,7,3,,,,,,,,,,
129,63,18,12,12,7,7,7,3,,,,,,,,,,,
134,78,13,13,12,12,3,3,,,,,,,,,,,,
139,78,13,13,8,8,8,8,3,,,,,,,,,,,
144,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,
149,42,12,12,12,12,12,12,12,8,8,7,,,,,,,,
154,78,13,13,12,12,12,12,2,,,,,,,,,,,
159,78,13,13,12,12,12,8,8,3,,,,,,,,,,
164,78,18,18,18,13,13,3,3,,,,,,,,,,,
169,42,12,12,12,12,12,12,12,12,12,12,7,,,,,,,
174,68,17,17,17,17,12,12,12,2,,,,,,,,,,
179,78,13,13,12,12,12,12,12,12,3,,,,,,,,,
184,78,13,13,12,12,12,12,8,8,8,8,,,,,,,,
189,78,18,18,18,13,13,12,8,8,3,,,,,,,,,
194,18,18,18,18,18,18,18,18,18,8,8,8,8,,,,,,
199,68,17,17,17,17,12,12,12,12,12,3,,,,,,,,
204,168,12,8,7,7,2,,,,,,,,,,,,,
209,168,8,8,8,7,7,3,,,,,,,,,,,,
214,78,18,18,18,13,13,12,12,8,8,8,8,,,,,,,
219,33,22,22,22,12,12,12,12,12,12,12,12,12,12,,,,,
224,78,13,13,12,12,12,12,12,12,12,12,12,12,,,,,,
229,168,12,12,12,8,7,7,3,,,,,,,,,,,
234,168,12,8,8,8,8,8,7,7,,,,,,,,,,
239,78,18,18,18,18,18,18,13,13,12,12,3,,,,,,,
244,78,18,18,18,18,18,18,13,13,8,8,8,8,,,,,,
249,33,22,22,22,18,18,18,12,12,12,12,12,12,12,12,,,,
254,168,12,12,12,12,8,8,8,7,7,,,,,,,,,
259,168,18,18,18,12,8,7,7,3,,,,,,,,,,
264,78,18,18,18,18,18,18,13,13,12,12,12,8,8,,,,,
269,78,18,18,18,18,18,18,18,18,18,13,13,3,,,,,,
274,168,12,12,12,12,12,12,12,8,7,7,,,,,,,,
279,168,28,12,12,12,12,12,12,8,3,,,,,,,,,
284,168,18,18,18,12,12,8,8,8,7,7,,,,,,,,
289,117,18,13,13,13,13,13,13,13,13,13,13,12,12,,,,,
294,78,18,18,18,18,18,18,18,18,18,13,13,12,8,8,,,,
299,88,22,22,22,22,22,22,22,22,12,12,8,3,,,,,,
304,168,18,18,18,12,12,12,12,12,8,7,7,,,,,,,
309,168,28,27,27,27,18,8,3,3,,,,,,,,,,
314,168,28,18,18,18,12,12,8,8,8,8,8,,,,,,,
319,117,18,18,18,18,13,13,13,13,13,13,13,13,13,13,,,,
324,252,18,12,7,7,7,7,7,7,,,,,,,,,,
329,252,28,18,7,7,7,7,3,,,,,,,,,,,
334,168,28,27,27,27,18,12,8,8,8,3,,,,,,,,
339,168,28,18,18,18,18,18,18,12,12,8,3,,,,,,,
344,168,28,18,18,18,18,18,18,8,8,8,8,8,,,,,,
349,238,17,17,17,17,17,17,7,2,,,,,,,,,,
354,252,28,18,12,8,8,7,7,7,7,,,,,,,,,
359,252,28,28,18,8,8,7,7,3,,,,,,,,,,
364,207,23,23,23,23,23,18,18,3,3,,,,,,,,,
369,168,28,18,18,18,18,18,18,18,18,18,8,3,,,,,,
374,252,28,18,12,12,12,12,7,7,7,7,,,,,,,,
379,252,28,28,18,12,12,12,7,7,3,,,,,,,,,
384,252,28,28,28,18,12,12,3,3,,,,,,,,,,
389,252,28,28,28,18,8,8,8,8,3,,,,,,,,,
394,187,22,22,22,22,22,22,22,17,17,17,2,,,,,,,
399,238,17,17,17,17,17,17,12,12,12,8,8,7,,,,,,
404,117,52,42,33,22,22,22,18,18,18,18,12,7,3,,,,,
409,117,78,52,18,18,18,18,13,13,12,12,12,12,8,8,,,,
414,78,78,52,42,18,18,18,13,13,13,13,13,13,13,12,7,,,
419,112,77,32,32,22,22,22,22,22,22,12,12,7,3,,,,,
424,72,72,42,42,28,18,18,18,18,12,12,12,12,12,12,12,12,,
429,77,77,63,42,22,18,18,18,18,12,12,12,12,12,8,8,,,
434,182,52,28,18,18,18,18,18,18,13,13,12,12,7,7,,,,
439,88,72,72,33,18,18,18,18,18,18,18,12,12,8,8,8,,,
444,168,72,28,18,18,18,18,18,18,18,18,8,8,8,8,,,,
449,102,68,68,33,22,22,22,17,17,17,17,17,12,12,3,,,,
454,117,72,52,33,22,22,22,18,18,18,12,12,12,8,8,8,,,
459,72,72,63,42,28,18,18,18,18,18,18,18,18,12,12,7,7,,
464,112,112,28,28,18,18,18,18,18,18,18,18,18,8,7,7,,,
469,108,88,33,27,27,18,18,18,18,18,18,18,18,18,8,8,8,,
474,198,88,22,22,22,18,12,12,12,12,12,12,12,12,8,,,,
479,153,68,68,18,18,17,17,17,17,17,17,12,12,12,8,8,,,
484,168,48,48,28,18,18,18,18,18,18,12,12,12,12,12,12,12,,
489,88,78,48,48,33,18,18,18,18,18,18,13,13,12,12,12,12,12,
494,132,72,72,22,22,22,22,22,22,22,22,22,18,2,,,,,
499,132,68,68,33,22,17,17,17,17,17,17,17,17,12,12,8,8,,
504,72,68,68,48,48,18,18,17,17,17,17,17,17,17,17,12,8,8,
509,168,78,33,28,22,22,22,18,18,18,13,13,12,12,12,12,8,,
514,88,78,78,33,33,22,22,22,18,18,18,13,13,13,13,12,12,8,
519,238,42,33,22,22,22,17,17,17,17,17,17,12,12,7,7,,,
524,132,88,48,48,22,22,22,22,22,22,12,12,12,12,12,8,8,,
529,198,88,33,22,22,22,22,22,22,18,12,12,12,8,8,8,,,
534,168,88,33,33,22,22,22,18,18,18,18,18,18,12,12,7,7,,
539,117,78,78,52,18,18,18,18,18,18,18,13,13,13,13,12,12,12,
544,207,88,33,23,23,23,23,23,18,18,18,18,18,8,3,,,,
549,198,63,42,28,22,22,22,22,22,22,18,18,12,12,12,7,7,,
554,152,68,57,57,18,18,18,18,18,18,17,17,17,17,12,12,12,8,
559,88,72,72,72,33,18,18,18,18,18,18,18,18,18,12,12,12,12,12
564,102,102,68,68,18,18,18,18,18,18,18,18,18,17,17,12,8,8,
