108,60,18,15,9,4,2,,,
109,42,36,18,7,4,2,,,
110,45,42,9,7,5,2,,,
111,48,18,16,12,9,6,2,,
112,56,28,14,8,4,2,,,
113,40,30,15,12,8,6,2,,
114,56,24,21,7,4,2,,,
115,40,28,21,10,8,6,2,,
116,40,30,20,10,8,6,2,,
117,40,35,14,12,8,6,2,,
118,35,30,24,14,8,5,2,,
119,48,42,16,7,4,2,,,
120,40,36,18,10,8,6,2,,
121,80,16,10,8,5,2,,,
122,36,30,20,18,12,4,2,,
123,48,30,16,12,10,5,2,,
124,56,42,12,8,4,2,,,
125,45,36,15,12,10,5,2,,
126,60,40,12,8,4,2,,,
127,45,36,18,12,9,5,2,,
128,30,24,20,15,12,10,8,6,3
129,52,39,26,6,4,2,,,
130,60,42,15,7,4,2,,,
131,84,18,14,9,4,2,,,
132,45,36,24,12,8,5,2,,
133,56,28,20,14,8,5,2,,
134,72,36,12,8,4,2,,,
135,42,35,30,14,7,5,2,,
136,60,40,24,6,4,2,,,
137,48,45,16,12,9,5,2,,
138,60,35,14,12,10,5,2,,
139,56,42,15,10,8,6,2,,
140,70,30,28,6,4,2,,,
141,60,40,15,10,8,6,2,,
142,45,36,30,15,10,4,2,,
143,60,30,20,15,12,4,2,,
144,45,36,30,18,9,4,2,,
145,84,18,14,12,9,6,2,,
146,54,30,27,20,9,4,2,,
147,88,33,12,8,4,2,,,
148,99,22,12,9,4,2,,,
149,45,36,30,24,8,4,2,,
150,60,36,20,18,10,4,2,,
151,48,35,20,16,14,10,6,2,
152,42,40,35,21,8,4,2,,
153,66,55,20,6,4,2,,,
154,96,32,12,8,4,2,,,
155,60,35,30,14,10,4,2,,
156,45,36,30,15,12,10,6,2,
157,88,44,11,8,4,2,,,
158,45,36,30,18,12,9,6,2,
159,84,42,21,6,4,2,,,
160,80,48,20,6,4,2,,,
161,72,30,24,20,9,4,2,,
162,56,42,30,20,8,4,2,,
